atlas_id,source_id,physical_pdf_page,printed_page_numbers,exact_value,unit,qualifier,immediate_context,section_topic
V10EN-NUM-178,V10EN,20,19,5,%,before,trast medium administration with second pass renal exposure hydrate the patient either (a) with intravenous sodium bicarbonate 1.4 % (or 154 mmol/l in dextrose 5 % water): 3 ml/kg/h for 1 hour before contrast medium or (b) with intravenous saline 0.9 % 1 ml/kg/hr for 3-4 hours before and 4-6 hours after contrast medium. •,B.2.2. Before the Examination ELECTIVE EXAMINATION At-risk patients • Consider an altern
V10EN-NUM-179,V10EN,20,19,3,ml/kg/h,before,administration with second pass renal exposure hydrate the patient either (a) with intravenous sodium bicarbonate 1.4 % (or 154 mmol/l in dextrose 5 % water): 3 ml/kg/h for 1 hour before contrast medium or (b) with intravenous saline 0.9 % 1 ml/kg/hr for 3-4 hours before and 4-6 hours after contrast medium. • For intra-arteria,B.2.2. Before the Examination ELECTIVE EXAMINATION At-risk patients • Consider an altern
V10EN-NUM-180,V10EN,20,19,1,hour,before,n with second pass renal exposure hydrate the patient either (a) with intravenous sodium bicarbonate 1.4 % (or 154 mmol/l in dextrose 5 % water): 3 ml/kg/h for 1 hour before contrast medium or (b) with intravenous saline 0.9 % 1 ml/kg/hr for 3-4 hours before and 4-6 hours after contrast medium. • For intra-arterial contrast,B.2.2. Before the Examination ELECTIVE EXAMINATION At-risk patients • Consider an altern
V10EN-NUM-181,V10EN,20,19,0.9,%,before,(a) with intravenous sodium bicarbonate 1.4 % (or 154 mmol/l in dextrose 5 % water): 3 ml/kg/h for 1 hour before contrast medium or (b) with intravenous saline 0.9 % 1 ml/kg/hr for 3-4 hours before and 4-6 hours after contrast medium. • For intra-arterial contrast medium administration with first pass renal exposure hydrate,B.2.2. Before the Examination ELECTIVE EXAMINATION At-risk patients • Consider an altern
V10EN-NUM-182,V10EN,20,19,1,ml/kg/hr,before,th intravenous sodium bicarbonate 1.4 % (or 154 mmol/l in dextrose 5 % water): 3 ml/kg/h for 1 hour before contrast medium or (b) with intravenous saline 0.9 % 1 ml/kg/hr for 3-4 hours before and 4-6 hours after contrast medium. • For intra-arterial contrast medium administration with first pass renal exposure hydrate the patien,B.2.2. Before the Examination ELECTIVE EXAMINATION At-risk patients • Consider an altern
V10EN-NUM-183,V10EN,20,19,3-4,hours,before,sodium bicarbonate 1.4 % (or 154 mmol/l in dextrose 5 % water): 3 ml/kg/h for 1 hour before contrast medium or (b) with intravenous saline 0.9 % 1 ml/kg/hr for 3-4 hours before and 4-6 hours after contrast medium. • For intra-arterial contrast medium administration with first pass renal exposure hydrate the patient either with,B.2.2. Before the Examination ELECTIVE EXAMINATION At-risk patients • Consider an altern
V10EN-NUM-184,V10EN,20,19,4-6,hours,before,4 % (or 154 mmol/l in dextrose 5 % water): 3 ml/kg/h for 1 hour before contrast medium or (b) with intravenous saline 0.9 % 1 ml/kg/hr for 3-4 hours before and 4-6 hours after contrast medium. • For intra-arterial contrast medium administration with first pass renal exposure hydrate the patient either with (a) intravenous sodiu,B.2.2. Before the Examination ELECTIVE EXAMINATION At-risk patients • Consider an altern
V10EN-NUM-185,V10EN,20,19,1.4,%,,t medium. • For intra-arterial contrast medium administration with first pass renal exposure hydrate the patient either with (a) intravenous sodium bicarbonate 1.4 % (or 154 mmol/l in dextrose 5 % water): 3 ml/ kg/h for 1 hour before followed by 1 ml/kg/ hr for 4-6 hours after contrast medium or (b) with intravenous saline,B.2.2. Before the Examination ELECTIVE EXAMINATION At-risk patients • Consider an altern
V10EN-NUM-186,V10EN,20,19,154,mmol/l,,• For intra-arterial contrast medium administration with first pass renal exposure hydrate the patient either with (a) intravenous sodium bicarbonate 1.4 % (or 154 mmol/l in dextrose 5 % water): 3 ml/ kg/h for 1 hour before followed by 1 ml/kg/ hr for 4-6 hours after contrast medium or (b) with intravenous saline 0.9 % for 3-4 h,B.2.2. Before the Examination ELECTIVE EXAMINATION At-risk patients • Consider an altern
V10EN-NUM-187,V10EN,20,19,5,%,before,ntrast medium administration with first pass renal exposure hydrate the patient either with (a) intravenous sodium bicarbonate 1.4 % (or 154 mmol/l in dextrose 5 % water): 3 ml/ kg/h for 1 hour before followed by 1 ml/kg/ hr for 4-6 hours after contrast medium or (b) with intravenous saline 0.9 % for 3-4 hours before and,B.2.2. Before the Examination ELECTIVE EXAMINATION At-risk patients • Consider an altern
V10EN-NUM-188,V10EN,20,19,3,ml,before,m administration with first pass renal exposure hydrate the patient either with (a) intravenous sodium bicarbonate 1.4 % (or 154 mmol/l in dextrose 5 % water): 3 ml/ kg/h for 1 hour before followed by 1 ml/kg/ hr for 4-6 hours after contrast medium or (b) with intravenous saline 0.9 % for 3-4 hours before and 4-6 hours aft,B.2.2. Before the Examination ELECTIVE EXAMINATION At-risk patients • Consider an altern
V10EN-NUM-189,V10EN,20,19,1,hour,before,n with first pass renal exposure hydrate the patient either with (a) intravenous sodium bicarbonate 1.4 % (or 154 mmol/l in dextrose 5 % water): 3 ml/ kg/h for 1 hour before followed by 1 ml/kg/ hr for 4-6 hours after contrast medium or (b) with intravenous saline 0.9 % for 3-4 hours before and 4-6 hours after contrast mediu,B.2.2. Before the Examination ELECTIVE EXAMINATION At-risk patients • Consider an altern
V10EN-NUM-190,V10EN,20,19,1,ml/kg,before,posure hydrate the patient either with (a) intravenous sodium bicarbonate 1.4 % (or 154 mmol/l in dextrose 5 % water): 3 ml/ kg/h for 1 hour before followed by 1 ml/kg/ hr for 4-6 hours after contrast medium or (b) with intravenous saline 0.9 % for 3-4 hours before and 4-6 hours after contrast medium. • The clinician responsi,B.2.2. Before the Examination ELECTIVE EXAMINATION At-risk patients • Consider an altern
V10EN-NUM-191,V10EN,20,19,4-6,hours,before,he patient either with (a) intravenous sodium bicarbonate 1.4 % (or 154 mmol/l in dextrose 5 % water): 3 ml/ kg/h for 1 hour before followed by 1 ml/kg/ hr for 4-6 hours after contrast medium or (b) with intravenous saline 0.9 % for 3-4 hours before and 4-6 hours after contrast medium. • The clinician responsible for patient ca,B.2.2. Before the Examination ELECTIVE EXAMINATION At-risk patients • Consider an altern
V10EN-NUM-192,V10EN,20,19,0.9,%,before,(or 154 mmol/l in dextrose 5 % water): 3 ml/ kg/h for 1 hour before followed by 1 ml/kg/ hr for 4-6 hours after contrast medium or (b) with intravenous saline 0.9 % for 3-4 hours before and 4-6 hours after contrast medium. • The clinician responsible for patient care should individualize preventive hydration in patients wi,B.2.2. Before the Examination ELECTIVE EXAMINATION At-risk patients • Consider an altern
V10EN-NUM-193,V10EN,20,19,3-4,hours,before,mol/l in dextrose 5 % water): 3 ml/ kg/h for 1 hour before followed by 1 ml/kg/ hr for 4-6 hours after contrast medium or (b) with intravenous saline 0.9 % for 3-4 hours before and 4-6 hours after contrast medium. • The clinician responsible for patient care should individualize preventive hydration in patients with severe cong,B.2.2. Before the Examination ELECTIVE EXAMINATION At-risk patients • Consider an altern
V10EN-NUM-194,V10EN,20,19,4-6,hours,before,water): 3 ml/ kg/h for 1 hour before followed by 1 ml/kg/ hr for 4-6 hours after contrast medium or (b) with intravenous saline 0.9 % for 3-4 hours before and 4-6 hours after contrast medium. • The clinician responsible for patient care should individualize preventive hydration in patients with severe congestive heart failure,B.2.2. Before the Examination ELECTIVE EXAMINATION At-risk patients • Consider an altern
V10EN-NUM-195,V10EN,20,19,3-4,,,ast medium. • The clinician responsible for patient care should individualize preventive hydration in patients with severe congestive heart failure (NYHA grade 3-4) or patients with end-stage renal failure (eGFR < 15 ml/min/1.73 m2). • Oral hydration is not recommended as the sole method of preventive hydration. B. RENAL,B.2.2. Before the Examination ELECTIVE EXAMINATION At-risk patients • Consider an altern
V10EN-NUM-196,V10EN,20,19,15,ml/min/1.73 m2,<,"re should individualize preventive hydration in patients with severe congestive heart failure (NYHA grade 3-4) or patients with end-stage renal failure (eGFR < 15 ml/min/1.73 m2). • Oral hydration is not recommended as the sole method of preventive hydration. B. RENAL ADVERSE REACTIONS (POST-CONTRAST ACUTE KIDNEY INJURY, PC-AKI) 19",B.2.2. Before the Examination ELECTIVE EXAMINATION At-risk patients • Consider an altern
V10EN-NUM-197,V10EN,20,19,19,,,".73 m2). • Oral hydration is not recommended as the sole method of preventive hydration. B. RENAL ADVERSE REACTIONS (POST-CONTRAST ACUTE KIDNEY INJURY, PC-AKI) 19","B. RENAL ADVERSE REACTIONS (POST-CONTRAST ACUTE KIDNEY INJURY, PC-AKI) 19"
V10EN-NUM-198,V10EN,21,20,350,,After,"ose (in gram l) / absolute eGFR (in ml/min) < 1.1 or the ratio CM volume (in ml) / eGFR (in ml/ min/1.73 m2) < 3.0, when using contrast medium concentration of 350 mgl/ml. B.2.4. After the Examination At-risk patients • Continue preventive hydration if appropriate (see protocols above). • Determine eGFR 48 hours after con",B.2.3. Time of examination All patients • Use low- or iso-osmolar contrast media. • Use
V10EN-NUM-199,V10EN,21,20,48,hours,after,"ncentration of 350 mgl/ml. B.2.4. After the Examination At-risk patients • Continue preventive hydration if appropriate (see protocols above). • Determine eGFR 48 hours after contrast medium administration. • If at 48 hours there is a diagnosis of PC-AKI, monitor the patient clinically for at least 30 days and determine eGFR a",B.2.4. After the Examination At-risk patients • Continue preventive hydration if appropr
V10EN-NUM-200,V10EN,21,20,48,hours,,"At-risk patients • Continue preventive hydration if appropriate (see protocols above). • Determine eGFR 48 hours after contrast medium administration. • If at 48 hours there is a diagnosis of PC-AKI, monitor the patient clinically for at least 30 days and determine eGFR at regular intervals. Note: No pharmacological prophylax",B.2.4. After the Examination At-risk patients • Continue preventive hydration if appropr
V10EN-NUM-201,V10EN,21,20,30,days,at least,"). • Determine eGFR 48 hours after contrast medium administration. • If at 48 hours there is a diagnosis of PC-AKI, monitor the patient clinically for at least 30 days and determine eGFR at regular intervals. Note: No pharmacological prophylaxis (with statins, renal vasodilators, receptor antagonists of endogenous vasoactive",B.2.4. After the Examination At-risk patients • Continue preventive hydration if appropr
V10EN-NUM-202,V10EN,21,20,20,,,"al vasodilators, receptor antagonists of endogenous vasoactive mediators or cytoprotective drugs) has been shown to offer consistent protection against PC-AKI. 20 B. RENAL ADVERSE REACTIONS (POST-CONTRAST ACUTE KIDNEY INJURY, PC-AKI)",B.2.4. After the Examination At-risk patients • Continue preventive hydration if appropr
V10EN-NUM-203,V10EN,22,21,60,ml/min/1.73 m2,<,ed for radiographic examinations. • Gadolinium-based contrast agents should not be used for radiographic examinations in patients with renal impairment (eGFR < 60 ml/min/1.73 m2). • Gadolinium-based contrast agents are more nephrotoxic than iodine-based contrast media in equivalent X-ray attenuating doses B. RENAL ADVERSE REACTIONS (PO,Gadolinium-based contrast agents should not be used for radiographic examinations in patient
V10EN-NUM-204,V10EN,22,21,21,,,"more nephrotoxic than iodine-based contrast media in equivalent X-ray attenuating doses B. RENAL ADVERSE REACTIONS (POST-CONTRAST ACUTE KIDNEY INJURY, PC-AKI) 21","B. RENAL ADVERSE REACTIONS (POST-CONTRAST ACUTE KIDNEY INJURY, PC-AKI) 21"
V10EN-NUM-205,V10EN,23,22,30,ml/min/1.73 m2,>,"B.4. PATIENTS WITH DIABETES MELLITUS TAKING METFORMIN B.4.1. Iodine-based contrast media 1. Patients with eGFR > 30 ml/min/1.73 m2 and no evidence of AKI, receiving either intravenous contrast medium or intra- arterial contrast medium with second pass renal exposure: continue taking metfor",B.4. PATIENTS WITH DIABETES MELLITUS TAKING METFORMIN B.4.1. Iodine-based contrast med
V10EN-NUM-206,V10EN,23,22,30,ml/min/1.73 m2,<,"intravenous contrast medium or intra- arterial contrast medium with second pass renal exposure: continue taking metformin normally. 2. Patients (a) with eGFR < 30 ml/min/1.73 m2 receiving intravenous contrast medium, or intra-arterial contrast medium with second pass renal exposure. (b) Receiving intra-arterial contrast medium with fir",B.4. PATIENTS WITH DIABETES MELLITUS TAKING METFORMIN B.4.1. Iodine-based contrast med
V10EN-NUM-207,V10EN,23,22,48,hours,within,terial contrast medium with first pass renal exposure. (c) With AKI: Stop taking metformin from the time of contrast medium administration. Measure eGFR within 48 hours and restart metformin if renal function has not changed significantly. B.4.2. Gadolinium-based contrast media No special precautions are necessary when diabeti,B.4. PATIENTS WITH DIABETES MELLITUS TAKING METFORMIN B.4.1. Iodine-based contrast med
V10EN-NUM-208,V10EN,23,22,22,,,"st media No special precautions are necessary when diabetic patients on metformin are given gadolinium-based contrast agents as the risk of PC-AKI is very low. 22 B. RENAL ADVERSE REACTIONS (POST-CONTRAST ACUTE KIDNEY INJURY, PC-AKI)",gadolinium-based contrast agents as the risk of PC-AKI is very low. 22 B. RENAL ADVERSE REAC
V10EN-NUM-209,V10EN,24,23,23,,,"ntrast agent The need for hemodialysis should be discussed with the referring physician. B. RENAL ADVERSE REACTIONS (POST-CONTRAST ACUTE KIDNEY INJURY, PC-AKI) 23","B. RENAL ADVERSE REACTIONS (POST-CONTRAST ACUTE KIDNEY INJURY, PC-AKI) 23"
V10EN-NUM-210,V10EN,25,24,30,ml/min/1.73 m2,>,on the same day. To reduce any potential for nephrotoxicity the following are recommended: 1. Patients with normal renal function or moderately reduced (GFR > 30 ml/min/1.73 m2). 75 % of both gadolinium- and iodine-based contrast agents are excreted by 4 hours after administration. There should be 4 hours between injections of iodine-,gadolinium-based contrast agents for enhanced CT and MR on the same day. To reduce any poten
V10EN-NUM-211,V10EN,25,24,75,%,>,reduce any potential for nephrotoxicity the following are recommended: 1. Patients with normal renal function or moderately reduced (GFR > 30 ml/min/1.73 m2). 75 % of both gadolinium- and iodine-based contrast agents are excreted by 4 hours after administration. There should be 4 hours between injections of iodine- and ga,gadolinium-based contrast agents for enhanced CT and MR on the same day. To reduce any poten
V10EN-NUM-212,V10EN,25,24,4,hours,after,Patients with normal renal function or moderately reduced (GFR > 30 ml/min/1.73 m2). 75 % of both gadolinium- and iodine-based contrast agents are excreted by 4 hours after administration. There should be 4 hours between injections of iodine- and gadolinium-based contrast agents. 2. Patients with severely reduced renal funct,gadolinium-based contrast agents for enhanced CT and MR on the same day. To reduce any poten
V10EN-NUM-213,V10EN,25,24,4,hours,after,tely reduced (GFR > 30 ml/min/1.73 m2). 75 % of both gadolinium- and iodine-based contrast agents are excreted by 4 hours after administration. There should be 4 hours between injections of iodine- and gadolinium-based contrast agents. 2. Patients with severely reduced renal function (GFR < 30 ml/min/1.73 m2 or on dialysis).,gadolinium-based contrast agents for enhanced CT and MR on the same day. To reduce any poten
V10EN-NUM-214,V10EN,25,24,30,ml/min/1.73 m2,<,nistration. There should be 4 hours between injections of iodine- and gadolinium-based contrast agents. 2. Patients with severely reduced renal function (GFR < 30 ml/min/1.73 m2 or on dialysis). There should be 7 days between injections of iodine- and gadolinium-based contrast agents. Note: Gadolinium-based contrast agents attenuate X-,gadolinium-based contrast agents. 2. Patients with severely reduced renal function (GFR < 30
V10EN-NUM-215,V10EN,25,24,7,days,,ons of iodine- and gadolinium-based contrast agents. 2. Patients with severely reduced renal function (GFR < 30 ml/min/1.73 m2 or on dialysis). There should be 7 days between injections of iodine- and gadolinium-based contrast agents. Note: Gadolinium-based contrast agents attenuate X-rays well and may be misinterpreted on C,gadolinium-based contrast agents. 2. Patients with severely reduced renal function (GFR < 30
V10EN-NUM-216,V10EN,25,24,24,,,"urinary tract. For abdominal examinations, enhanced CT should be done before enhanced MR. For chest and brain examinations, either CT or MR may be done first. 24 B. RENAL ADVERSE REACTIONS (POST-CONTRAST ACUTE KIDNEY INJURY, PC-AKI)",gadolinium-based contrast agents. Note: Gadolinium-based contrast agents attenuate X-rays we
V10EN-NUM-217,V10EN,26,25,30,ml/min/1.73 m2,>,OULD THERE BE BETWEEN TWO IODINE-BASED CONTRAST MEDIUM INJECTIONS FOR ROUTINE EXAMINATIONS? 1. Patients with normal or moderately reduced renal function (GFR > 30 ml/min/1.73 m2). 75 % of iodine-based contrast medium is excreted by 4 hours after administration. There should be 4 hours between injections of iodine-based contrast medium.,B.7. HOW LONG SHOULD THERE BE BETWEEN TWO IODINE-BASED CONTRAST MEDIUM INJECTIONS FOR
V10EN-NUM-218,V10EN,26,25,75,%,>,N TWO IODINE-BASED CONTRAST MEDIUM INJECTIONS FOR ROUTINE EXAMINATIONS? 1. Patients with normal or moderately reduced renal function (GFR > 30 ml/min/1.73 m2). 75 % of iodine-based contrast medium is excreted by 4 hours after administration. There should be 4 hours between injections of iodine-based contrast medium. 2. Pat,B.7. HOW LONG SHOULD THERE BE BETWEEN TWO IODINE-BASED CONTRAST MEDIUM INJECTIONS FOR
V10EN-NUM-219,V10EN,26,25,4,hours,after,UTINE EXAMINATIONS? 1. Patients with normal or moderately reduced renal function (GFR > 30 ml/min/1.73 m2). 75 % of iodine-based contrast medium is excreted by 4 hours after administration. There should be 4 hours between injections of iodine-based contrast medium. 2. Patients with severely reduced renal function (GFR < 30 ml,B.7. HOW LONG SHOULD THERE BE BETWEEN TWO IODINE-BASED CONTRAST MEDIUM INJECTIONS FOR
V10EN-NUM-220,V10EN,26,25,4,hours,after,moderately reduced renal function (GFR > 30 ml/min/1.73 m2). 75 % of iodine-based contrast medium is excreted by 4 hours after administration. There should be 4 hours between injections of iodine-based contrast medium. 2. Patients with severely reduced renal function (GFR < 30 ml/min/1.73 m2). There should be 48 hours betwee,B.7. HOW LONG SHOULD THERE BE BETWEEN TWO IODINE-BASED CONTRAST MEDIUM INJECTIONS FOR
V10EN-NUM-221,V10EN,26,25,30,ml/min/1.73 m2,<,hours after administration. There should be 4 hours between injections of iodine-based contrast medium. 2. Patients with severely reduced renal function (GFR < 30 ml/min/1.73 m2). There should be 48 hours between injections of iodine-based contrast medium. 3. Patients on dialysis. If there is remnant renal function there should be at l,B.7. HOW LONG SHOULD THERE BE BETWEEN TWO IODINE-BASED CONTRAST MEDIUM INJECTIONS FOR
V10EN-NUM-222,V10EN,26,25,48,hours,<,ould be 4 hours between injections of iodine-based contrast medium. 2. Patients with severely reduced renal function (GFR < 30 ml/min/1.73 m2). There should be 48 hours between injections of iodine-based contrast medium. 3. Patients on dialysis. If there is remnant renal function there should be at least 48 hours between injec,B.7. HOW LONG SHOULD THERE BE BETWEEN TWO IODINE-BASED CONTRAST MEDIUM INJECTIONS FOR
V10EN-NUM-223,V10EN,26,25,48,hours,at least,ere should be 48 hours between injections of iodine-based contrast medium. 3. Patients on dialysis. If there is remnant renal function there should be at least 48 hours between injections of iodine-based contrast medium. B.8. HOW LONG SHOULD THERE BE BETWEEN TWO GADOLINIUM-BASED CONTRAST AGENT INJECTIONS FOR ROUTINE EXAMINATIO,B.7. HOW LONG SHOULD THERE BE BETWEEN TWO IODINE-BASED CONTRAST MEDIUM INJECTIONS FOR
V10EN-NUM-224,V10EN,26,25,30,ml/min/1.73 m2,>,D THERE BE BETWEEN TWO GADOLINIUM-BASED CONTRAST AGENT INJECTIONS FOR ROUTINE EXAMINATIONS? 1. Patients with normal or moderately reduced renal function (GFR > 30 ml/min/1.73 m2). 75 % of extracellular gadolinium-based contrast agents are excreted by 4 hours after administration. There should be 4 hours between injections of gadolinium,B.8. HOW LONG SHOULD THERE BE BETWEEN TWO GADOLINIUM-BASED CONTRAST AGENT INJECTIONS F
V10EN-NUM-225,V10EN,26,25,75,%,>,WO GADOLINIUM-BASED CONTRAST AGENT INJECTIONS FOR ROUTINE EXAMINATIONS? 1. Patients with normal or moderately reduced renal function (GFR > 30 ml/min/1.73 m2). 75 % of extracellular gadolinium-based contrast agents are excreted by 4 hours after administration. There should be 4 hours between injections of gadolinium- based,B.8. HOW LONG SHOULD THERE BE BETWEEN TWO GADOLINIUM-BASED CONTRAST AGENT INJECTIONS F
V10EN-NUM-226,V10EN,26,25,4,hours,after,1. Patients with normal or moderately reduced renal function (GFR > 30 ml/min/1.73 m2). 75 % of extracellular gadolinium-based contrast agents are excreted by 4 hours after administration. There should be 4 hours between injections of gadolinium- based contrast agent. 2. Patients with severely reduced renal function (GFR < 3,gadolinium-based contrast agents are excreted by 4 hours after administration. There should
V10EN-NUM-227,V10EN,26,25,4,hours,after,renal function (GFR > 30 ml/min/1.73 m2). 75 % of extracellular gadolinium-based contrast agents are excreted by 4 hours after administration. There should be 4 hours between injections of gadolinium- based contrast agent. 2. Patients with severely reduced renal function (GFR < 30 ml/min/1.73 m2) or on dialysis. There should,gadolinium-based contrast agents are excreted by 4 hours after administration. There should
V10EN-NUM-228,V10EN,26,25,30,ml/min/1.73 m2,<,"s after administration. There should be 4 hours between injections of gadolinium- based contrast agent. 2. Patients with severely reduced renal function (GFR < 30 ml/min/1.73 m2) or on dialysis. There should be 7 days between injections of gadolinium- based contrast agent B. RENAL ADVERSE REACTIONS (POST-CONTRAST ACUTE KIDNEY INJURY, P",gadolinium-based contrast agents are excreted by 4 hours after administration. There should
V10EN-NUM-229,V10EN,26,25,7,days,,"ween injections of gadolinium- based contrast agent. 2. Patients with severely reduced renal function (GFR < 30 ml/min/1.73 m2) or on dialysis. There should be 7 days between injections of gadolinium- based contrast agent B. RENAL ADVERSE REACTIONS (POST-CONTRAST ACUTE KIDNEY INJURY, PC-AKI) 25",gadolinium-based contrast agents are excreted by 4 hours after administration. There should
V10EN-NUM-230,V10EN,26,25,25,,,"dialysis. There should be 7 days between injections of gadolinium- based contrast agent B. RENAL ADVERSE REACTIONS (POST-CONTRAST ACUTE KIDNEY INJURY, PC-AKI) 25","B. RENAL ADVERSE REACTIONS (POST-CONTRAST ACUTE KIDNEY INJURY, PC-AKI) 25"
V10EN-NUM-231,V10EN,28,27,27,,,cations. • Low- or iso-osmolar contrast media should be used for diagnostic and interventional angiographic procedures including phlebography. C. MISCELLANEOUS 27,C. MISCELLANEOUS 27
V10EN-NUM-232,V10EN,29,28,28,,,ervision of the referring physician is recommended. Type of contrast agent which should be used • Iodine-based: non-ionic agent. • Gadolinium-based: any agent. 28 C. MISCELLANEOUS,d. Type of contrast agent which should be used • Iodine-based: non-ionic agent. • Ga
V10EN-NUM-233,V10EN,30,29,29,,,er with renal reactions (B.2.). No gadolinium-based impairment additional precautions contrast agents. are necessary for the fetus or neonate. C. MISCELLANEOUS 29,e. C. MISCELLANEOUS 29
V10EN-NUM-234,V10EN,31,30,2,,,Aminoglycosides Non steroid anti- inflammatory drugs ß-blocker ß-blockers may impair the management of bronchospasm and the response to adrenaline. Interleukin-2 Refer to late adverse reactions section (A.2.). Non-emergency biochemical assays Recommendation • Preferably collect urine and blood before administration of a,e. Interleukin-2 Refer to late adverse reactions section (A.2.). Non-emergency bioch
V10EN-NUM-235,V10EN,31,30,4,hours,after,"Recommendation • Preferably collect urine and blood before administration of a contrast agent. • In patients with normal renal function, blood can be collected 4 hours after contrast agent administration if necessary. • In patients with reduced renal function (eGFR < 45 ml/min/1.73 m2), blood collection should be delayed for",e. Interleukin-2 Refer to late adverse reactions section (A.2.). Non-emergency bioch
V10EN-NUM-236,V10EN,31,30,45,ml/min/1.73 m2,<,"with normal renal function, blood can be collected 4 hours after contrast agent administration if necessary. • In patients with reduced renal function (eGFR < 45 ml/min/1.73 m2), blood collection should be delayed for as long as possible after contrast agent administration. • Urine collection should not be done within 24 hours of admi",e. Interleukin-2 Refer to late adverse reactions section (A.2.). Non-emergency bioch
V10EN-NUM-237,V10EN,31,30,24,hours,within,"5 ml/min/1.73 m2), blood collection should be delayed for as long as possible after contrast agent administration. • Urine collection should not be done within 24 hours of administration of a contrast agent. • The effects of the contrast agents on the analyses may differ dependent on which analytic method is used. Isotope stud",e. Interleukin-2 Refer to late adverse reactions section (A.2.). Non-emergency bioch
V10EN-NUM-238,V10EN,31,30,2,months,at least,"Isotope studies and/or treatment Thyroid Patients undergoing therapy with radioactive iodine should not have received iodine-based contrast medium for at least 2 months before treatment. Isotope imaging of the thyroid should be avoided for 2 months after iodine-based contrast medium injection. Bone, red blood Avoid iodine-base",d. Isotope studies and/or treatment Thyroid Patients undergoing therapy with radioac
V10EN-NUM-239,V10EN,31,30,2,months,after,"ctive iodine should not have received iodine-based contrast medium for at least 2 months before treatment. Isotope imaging of the thyroid should be avoided for 2 months after iodine-based contrast medium injection. Bone, red blood Avoid iodine-based contrast medium injection for cell labelling at least 24 hours before the isot",d. Isotope studies and/or treatment Thyroid Patients undergoing therapy with radioac
V10EN-NUM-240,V10EN,31,30,24,hours,at least,"be avoided for 2 months after iodine-based contrast medium injection. Bone, red blood Avoid iodine-based contrast medium injection for cell labelling at least 24 hours before the isotope study. 30 C. MISCELLANEOUS",d. Isotope studies and/or treatment Thyroid Patients undergoing therapy with radioac
V10EN-NUM-241,V10EN,31,30,30,,before,"ne-based contrast medium injection. Bone, red blood Avoid iodine-based contrast medium injection for cell labelling at least 24 hours before the isotope study. 30 C. MISCELLANEOUS",d. Isotope studies and/or treatment Thyroid Patients undergoing therapy with radioac
V10EN-NUM-242,V10EN,32,31,2014,,,"the deep brain nuclei on unenhanced T1-weighed MR-images. • The association between these appearances and gadolinium- based contrast agents was first noted in 2014. C.7.1.2. Characteristics • The signal intensity changes are not specific and may occur after manganese, iron, calcium etc. • MR is less sensitive for detectin",C.7. GADOLINIUM ISSUES C.7.1. Gadolinium retention in the brain C.7.1.1. Detection • S
V10EN-NUM-243,V10EN,32,31,31,,after,"tive dose of the gadolinium- based agent, the more widespread are the areas of increased signal intensity. • Only occurs after multiple doses. C. MISCELLANEOUS 31",C. MISCELLANEOUS 31
V10EN-NUM-244,V10EN,34,33,24,hours,before,"agent related events in critically ill patients and patients with acute coronary disease is limited. Contraindication • Avoid ultrasound contrast agents in the 24 hours before extracorporeal shock wave treatment. Type and severity of • The majority of reactions are minor (e.g. reactions headache, nausea, sensation of heat, alt",d. Contraindication • Avoid ultrasound contrast agents in the 24 hours before extrac
V10EN-NUM-245,V10EN,36,35,35,,,"risks and benefits of off-label contrast agent use, and must obtain the patient’s informed consent to off-label contrast agent administration. C. MISCELLANEOUS 35",C. MISCELLANEOUS 35
V10EN-NUM-246,V10EN,37,36,36,,,"ministration (e.g. IV, IA, intra-articular, oral, local......): Time between the injection and the start of the clinical symptoms: Type of symptoms (describe): 36 D. Questionnaires/letters",D. QUESTIONNAIRES/LETTERS D.1. AN EXAMPLE OF A SUITABLE LETTER FOR THE PATIENT TO TA
V10EN-NUM-247,V10EN,38,37,1,,,Grade of the reaction according to the Ring and Messmer classification: Grade 1 Grade 2 Grade 3 Grade 4 Grade Dermal Abdominal Respiratory Cardiovascular 1 Pruritus Flushing Urticaria Angioedema 2 Pruritus Nausea Rhinorrhea Tachycardia Flu,
V10EN-NUM-248,V10EN,38,37,2,,,Grade of the reaction according to the Ring and Messmer classification: Grade 1 Grade 2 Grade 3 Grade 4 Grade Dermal Abdominal Respiratory Cardiovascular 1 Pruritus Flushing Urticaria Angioedema 2 Pruritus Nausea Rhinorrhea Tachycardia Flushing Cr,
V10EN-NUM-249,V10EN,38,37,3,,,Grade of the reaction according to the Ring and Messmer classification: Grade 1 Grade 2 Grade 3 Grade 4 Grade Dermal Abdominal Respiratory Cardiovascular 1 Pruritus Flushing Urticaria Angioedema 2 Pruritus Nausea Rhinorrhea Tachycardia Flushing Cramping H,
V10EN-NUM-250,V10EN,38,37,4,,,Grade of the reaction according to the Ring and Messmer classification: Grade 1 Grade 2 Grade 3 Grade 4 Grade Dermal Abdominal Respiratory Cardiovascular 1 Pruritus Flushing Urticaria Angioedema 2 Pruritus Nausea Rhinorrhea Tachycardia Flushing Cramping Hoarsenes,
V10EN-NUM-251,V10EN,38,37,2,,,the Ring and Messmer classification: Grade 1 Grade 2 Grade 3 Grade 4 Grade Dermal Abdominal Respiratory Cardiovascular 1 Pruritus Flushing Urticaria Angioedema 2 Pruritus Nausea Rhinorrhea Tachycardia Flushing Cramping Hoarseness (> 20 bpm) Urticaria Dyspnea Blood pressure Angioedema change (> 20 mm Hg systolic) Arrhyth,
