atlas_id,source_id,physical_pdf_page,printed_page_numbers,exact_phrase,surrounding_context,section_topic
V10DE-REC-024,V10DE,10,18;19,sollten,"iodhaltigen Spezialisten für Allergologie zur Durchführung eines Hauttestes. Röntgenkontrastmitteln beim nüchternen Patienten Prick- und Intradermaltests sollten zum Ausschluss einer Die Empfehlung, dass Patienten vor intravenöser Kontrastmittelgabe tatsäch",A.1.2.3. Nach einer moderaten oder schweren akuten
V10DE-REC-025,V10DE,10,18;19,Empfehlung,"tmitteln beim nüchternen Patienten Prick- und Intradermaltests sollten zum Ausschluss einer Die Empfehlung, dass Patienten vor intravenöser Kontrastmittelgabe tatsächlichen Kontrastmittelallergie und zur Kreuzreaktion mit anderen",A.1.2.3. Nach einer moderaten oder schweren akuten
V10DE-REC-026,V10DE,10,18;19,sollten,"mittelgabe tatsächlichen Kontrastmittelallergie und zur Kreuzreaktion mit anderen nüchtern sein sollten, stammt aus der Zeit als hoch-osmolare Kontrastmitteln verwendet werden. iodhaltige Röntgenkont",A.1.2.3. Nach einer moderaten oder schweren akuten
V10DE-REC-027,V10DE,10,18;19,erforderlich,nicht-ionischen iodhaltigen Röntgenkontrastmitteln oder von gadoliniumhaltigen Kontrastmitteln nicht erforderlich. Dokumentation unerwünschter Reaktion • Vermerk des Kontrastmittelnamens und der -dosierung sowie der Art der Reaktion und der ergriffenen Maßnahmen in der Patientenakt,A.1.2.3. Nach einer moderaten oder schweren akuten
V10DE-REC-028,V10DE,10,18;19,sollte,"r Patientenakte. • Dokumentation der o.g. Informationen im klinikinternen Register für unerwünschte Reaktionen. • Wenn die Reaktion schwerwiegend oder ungewöhnlich ist, sollte diese der nationalen Behörde für Pharmakovigilanz gemeldet werden. A.1.2.4. Überprüfung der Behandlungsprotokolle Radiologen und ihr Team sollten die Behandlungsprotok",A.1.2.3. Nach einer moderaten oder schweren akuten
V10DE-REC-029,V10DE,10,18;19,sollten,"oder ungewöhnlich ist, sollte diese der nationalen Behörde für Pharmakovigilanz gemeldet werden. A.1.2.4. Überprüfung der Behandlungsprotokolle Radiologen und ihr Team sollten die Behandlungsprotokolle regelmäßig (z.B. alle 12 Monate) besprechen, damit im Ernstfall jede Maßnahme schnell und sicher durchgeführt werden kann. Fachwissen, Übung und",A.1.2.4. Überprüfung der Behandlungsprotokolle
V10DE-REC-030,V10DE,10,18;19,kann,"adiologen und ihr Team sollten die Behandlungsprotokolle regelmäßig (z.B. alle 12 Monate) besprechen, damit im Ernstfall jede Maßnahme schnell und sicher durchgeführt werden kann. Fachwissen, Übung und Vorbereitung sind wichtige Voraussetzungen, um unerwünschte Wirkungen von Kontrastmitteln sicher und effektiv zu behandeln. A.1.3. Dokumentation",A.1.2.4. Überprüfung der Behandlungsprotokolle
V10DE-REC-031,V10DE,10,18;19,Kann,"dies für den Patienten angenehmer zu sein scheint. • Durch Reduktion der Viskosität könnte sich das Risiko einer Röntgenkontrastmittel-Extravasation verringern. • Kann die Häufigkeit allgemeiner unerwünschter Wirkungen reduzieren, auch wenn dazu nur wenige Daten vorliegen. 18 ﻿Allgemeine unerwünschte Wirkungen",A.1.3. Dokumentation der akuten unerwünschten
V10DE-REC-032,V10DE,11,20;21,sollten,"Röntgenkontrastmittelreaktion hatten oder Definition Eine späte unerwünschte Wirkung mit Interleukin-2 therapiert werden, sollten auf intravaskulär verabreichtes informiert werden, dass Spätreaktionen an iodhaltiges Rönt",A.2. Späte unerwünschte Wirkungen Empfehlungen
V10DE-REC-033,V10DE,11,20;21,sollte,"der Haut möglich sind und beim Auftreten definitionsgemäß vor, wenn die Reaktion ein Arzt aufgesucht werden sollte. eine Stunde bis eine Woche nach Kontrastmittelgabe auftritt. Epi- und Intrakutantests",A.2. Späte unerwünschte Wirkungen Empfehlungen
V10DE-REC-034,V10DE,11,20;21,können,". eine Stunde bis eine Woche nach Kontrastmittelgabe auftritt. Epi- und Intrakutantests können dabei Reaktionen Hautreaktionen, die ähnlich aussehen wie helfen, eine späte Hautreaktion auf von anderen Medi",A.2. Späte unerwünschte Wirkungen Empfehlungen
V10DE-REC-035,V10DE,11,20;21,sollte,"geprägt und Um ein erneutes Auftreten zu verhindern, selbst-limitierend. sollte ein anderes Röntgenkontrastmittel gewählt werden als jenes, welches",A.2. Späte unerwünschte Wirkungen Empfehlungen
V10DE-REC-036,V10DE,11,20;21,sollten,"rechen, Kreuzreaktion im Hauttest gezeigt haben, muskuloskelettale Schmerzen, Fieber), sollten vermieden werden. viele von ihnen sind aber nicht durch das Röntgenkontrastmittel verursacht.",A.2. Späte unerwünschte Wirkungen Empfehlungen
V10DE-REC-037,V10DE,11,20;21,nicht empfohlen,Eine medikamentöse Prophylaxe wird im Allgemeinen nicht empfohlen. Risikofaktoren für • Frühere späte unerwünschte Reaktion Hautreaktionen auf Kontrastmittel.,A.2. Späte unerwünschte Wirkungen Empfehlungen
V10DE-REC-038,V10DE,11,20;21,können,"Merke: Späte Hautreaktionen, wie sie nach iodhaltigen • Therapie mit Interleukin-2. Röntgenkontrastmitteln auftreten können, sind bisher nach Anwendung • Anwendung nicht-ionischer Dimere. von gadoliniumhaltigen und Ultraschall-Kontrastmitteln nicht beschrieben Behand",A.2. Späte unerwünschte Wirkungen Empfehlungen
V10DE-REC-039,V10DE,12,22;23,sollte,"Systemische Fibrose (NSF) Die Diagnose Nephrogene Systemische Fibrose (NSF) sollte nur gestellt werden, wenn die klinischen und histopathologischen Kriterien des Yale Reaktionstyp",A.3. Sehr späte unerwünschte Wirkungen A.3.2. Sehr spä
V10DE-REC-040,V10DE,12,22;23,sollte,Diagnose Die Diagnose Nephrogene Systemische Fibrose (NSF) sollte nur gestellt A.3.1. Sehr späte unerwünschte Wirkungen auf iodhaltige werd,A.3. Sehr späte unerwünschte Wirkungen A.3.2. Sehr spä
V10DE-REC-041,V10DE,12,22;23,kann,• Bei Patienten mit dem Risiko einer Schwellung und Erythem der Haut. Thyreotoxikose kann die TSH- Normalerweise an den Beinen beginnend. Bestimmung sinnvoll sein.,A.3.1. Sehr späte unerwünschte Wirkungen auf iodhaltige
V10DE-REC-042,V10DE,12,22;23,kann,h verdickte • Bei ausgewählten Hochrisikopatienten Haut und subkutanes Gewebe sowie kann eine Prophylaxe durch einen Kontrakturen an den Extremitäten können Endokrinologen durchgeführt werden.,A.3.1. Sehr späte unerwünschte Wirkungen auf iodhaltige
V10DE-REC-043,V10DE,12,22;23,können,"Haut und subkutanes Gewebe sowie kann eine Prophylaxe durch einen Kontrakturen an den Extremitäten können Endokrinologen durchgeführt werden. auftreten. Fibrosierung innerer Organe, z.B. •",A.3.1. Sehr späte unerwünschte Wirkungen auf iodhaltige
V10DE-REC-044,V10DE,12,22;23,sollten,"Endokrinologen durchgeführt werden. auftreten. Fibrosierung innerer Organe, z.B. • Risikopatienten sollten nach Muskulatur, Zwerchfell, Herz, Leber, Lungen, Röntgenkontrastmittelinjektion",A.3.1. Sehr späte unerwünschte Wirkungen auf iodhaltige
V10DE-REC-045,V10DE,12,22;23,kann,"Muskulatur, Zwerchfell, Herz, Leber, Lungen, Röntgenkontrastmittelinjektion kann ebenfalls auftreten. engmaschig von einem Endokrinologen Eine ausgeprägte Beteiligung innerer",A.3.1. Sehr späte unerwünschte Wirkungen auf iodhaltige
V10DE-REC-046,V10DE,12,22;23,kann,Eine ausgeprägte Beteiligung innerer überwacht werden. Organe kann zum Tode führen. • Intravenöse cholangiographische Röntgenkontrastmittel sollten bei Risikofaktoren,A.3.1. Sehr späte unerwünschte Wirkungen auf iodhaltige
V10DE-REC-047,V10DE,12,22;23,sollten,"Organe kann zum Tode führen. • Intravenöse cholangiographische Röntgenkontrastmittel sollten bei Risikofaktoren Risikopatienten nicht verabreicht werden. Von Patientenseite • Eingeschränkte Nierenfunktion,",A.3.1. Sehr späte unerwünschte Wirkungen auf iodhaltige
V10DE-REC-048,V10DE,12,22;23,nicht verabreicht,"• Intravenöse cholangiographische Röntgenkontrastmittel sollten bei Risikofaktoren Risikopatienten nicht verabreicht werden. Von Patientenseite • Eingeschränkte Nierenfunktion, insb",A.3.1. Sehr späte unerwünschte Wirkungen auf iodhaltige
V10DE-REC-049,V10DE,13,24;25,kann,"Gadoxetat Dinatriumsalz (Primovist®) • Das Risiko steigt mit zunehmender Kontrastmittelmenge, dennoch kann Ligand: Ionisches lineares Chelat (EOB- eine NFS bereits nach einmaliger Gabe DTPA)",
V10DE-REC-050,V10DE,13,24;25,Empfehlung,Untersuchungen zugelassen sind. Nierenversagen • Die CMSC unterstützt diese Empfehlung. Gadoliniumhaltige Kontrastmittel Niedriges NSF-Risiko Risiko-Einteilung (basierend auf Laborwerten) und Empfehlungen Kontrastmitt,
V10DE-REC-051,V10DE,13,24;25,sollten,Ligand: Nicht-ionisches lineares Chelat (DTPA-BMEA) Empfehlungen • Diese Substanzen sollten mit VORSICHT Empfehlungen • Die European Medicines Agency (EMA) eingesetzt werden bei Patienten mit hat,
V10DE-REC-052,V10DE,13,24;25,sollten,"eingesetzt werden bei Patienten mit hat den Gebrauch aller intravenösen GFR < 30 ml/min/1,73m². Es sollten Kontrastmittel mit hohem Risiko mindestens sieben Tage zwischen zwei unterbunden (Om",
V10DE-REC-053,V10DE,13,24;25,mindestens,"intravenösen GFR < 30 ml/min/1,73m². Es sollten Kontrastmittel mit hohem Risiko mindestens sieben Tage zwischen zwei unterbunden (Omniscan™, Magnevist®) Injektionen liegen. und de",
V10DE-REC-054,V10DE,13,24;25,können,) Injektionen liegen. und der Zulassungsinhaber hat • Schwangere: Die Substanzen können zur OptiMark® vom europäischen Markt Gewinnung essentieller diagnostischer genommen.,
V10DE-REC-055,V10DE,13,24;25,kann,"• Die EMA gibt an, dass Magnevist® für • Stillende Frauen: Die Milch aus Arthrographien eingesetzt werden kann. den ersten 24 Stunden nach • Das CMSC unterstützt diese Kontrastmittelgabe muss",
V10DE-REC-056,V10DE,13,24;25,muss nicht,"kann. den ersten 24 Stunden nach • Das CMSC unterstützt diese Kontrastmittelgabe muss nicht Empfehlung. zwangsläufig verworfen werden, aber die",
V10DE-REC-057,V10DE,13,24;25,Empfehlung,"ersten 24 Stunden nach • Das CMSC unterstützt diese Kontrastmittelgabe muss nicht Empfehlung. zwangsläufig verworfen werden, aber die",
V10DE-REC-058,V10DE,13,24;25,kann,"zwangsläufig verworfen werden, aber die Patientin kann mit dem Arzt besprechen, ob sie dies wünscht.",
V10DE-REC-059,V10DE,13,24;25,erforderlich,• Die Bestimmung der Nierenfunktion (eGFR) ist nicht zwingend erforderlich. 24 ﻿Allgemeine unerwünschte Wirkungen ﻿Allgemeine unerwünschte Wirkungen 25,
V10DE-REC-060,V10DE,14,26;27,empfohlen,"• Bei Erwachsenen ≥ 18 Jahre wird die Verwendung der CKD-EPI Formel empfohlen eGFR (ml/min/1,73 m2) = Fra",B.1. Messung der Nierenfunktion
V10DE-REC-061,V10DE,14,26;27,kann,"Indikator für die Nierenfunktion, eine eingeschränkte Nierenfunktion kann bei Verwendung dieser Parameter übersehen werden. 26 ﻿Allgemeine unerwünschte Wirkungen ﻿Renale unerwünschte Wirkungen (Kontrastmittel-assozi",B.1. Messung der Nierenfunktion
V10DE-REC-062,V10DE,15,28;29,kann,"n die Untersuchung ohne Risiken für den Patienten solange aufgeschoben werden kann, bis das Ergebnis vorliegt.",B.2. Renale unerwünschte Wirkungen iodhaltiger
V10DE-REC-063,V10DE,15,28;29,Kann,"vorliegt. • Kann die eGFR nicht ermittelt werden, sollte man sich bei intraarterieller Gabe mi",B.2. Renale unerwünschte Wirkungen iodhaltiger
V10DE-REC-064,V10DE,15,28;29,sollte,"vorliegt. • Kann die eGFR nicht ermittelt werden, sollte man sich bei intraarterieller Gabe mit renaler Exposition im first pass so we",B.2. Renale unerwünschte Wirkungen iodhaltiger
V10DE-REC-065,V10DE,15,28;29,sollte,nöse Gabe oder die intraarterielle Gabe mit renaler Exposition im second pass sollte man sich so weit wie möglich nach dem Protokoll für Patienten mit einer eGFR,B.2. Renale unerwünschte Wirkungen iodhaltiger
V10DE-REC-066,V10DE,16,30;31,sollte,rastmittelapplikation mit Alle Patienten • Niedrig- oder iso-osmolares renalem second-pass Effekt sollte der Röntgenkontrastmittel einsetzen. Patient entweder (a) mit intravenöser,B.2.2. Vor der Untersuchung
V10DE-REC-067,V10DE,16,30;31,sollte,"applikation mit renalem first-pass mit intravenöser 0,9%iger Kochsalzlösung Effekt sollte entweder das Verhältnis 1ml/kg/h über 3-4 Stunden vor und 4-6 Röntgenkontrastmitt",B.2.2. Vor der Untersuchung
V10DE-REC-068,V10DE,16,30;31,sollte,"applikation mit renalem first-pass (in ml) / eGFR (in ml/ Effekt sollte der Patient entweder min/1,73m2) < 3.0 sein, falls eine (a) mit intravenöser 1",B.2.2. Vor der Untersuchung
V10DE-REC-069,V10DE,16,30;31,sollte,• eGFR 48 Stunden nach Röntgenkontrast- • Der behandelnde Arzt sollte die präventive mittelgabe bestimmen. Volumenexpansion bei Patienten mit,B.2.2. Vor der Untersuchung
V10DE-REC-070,V10DE,16,30;31,sollte,"en die Diagnose schwerer kongestiver Herzinsuffizienz einer PC-AKI gestellt wird, sollte der (NYHA Stadium 3-4) oder bei Patienten mit Patient für mindestens 30 Tage klinisch",B.2.2. Vor der Untersuchung
V10DE-REC-071,V10DE,16,30;31,mindestens,"C-AKI gestellt wird, sollte der (NYHA Stadium 3-4) oder bei Patienten mit Patient für mindestens 30 Tage klinisch terminaler Niereninsuffizienz (eGFR < 15 überwacht und die eGFR in",B.2.2. Vor der Untersuchung
V10DE-REC-072,V10DE,16,30;31,empfohlen,"präventiven Volumenexpansion wird nicht Merke: Bisher gibt es keine medikamentöse Prophylaxe (mit Statinen, empfohlen. renalen Vasodilatatoren, Rezeptor-Antagonisten endogener vasoaktiver",B.2.2. Vor der Untersuchung
V10DE-REC-073,V10DE,17,32;33,sollen,n ein erhöhtes PC-AKI-Risiko. mittel mit renalem second-pass Effekt erhalten sollen: Metformin kann • Patienten mit Multiplem Myelom haben häufig eine Hyperkalzämie; normal eingenommen werden. welche das Risiko einer Nie,B.2.5. Patienten mit Multiplem Myelom
V10DE-REC-074,V10DE,17,32;33,kann,AKI-Risiko. mittel mit renalem second-pass Effekt erhalten sollen: Metformin kann • Patienten mit Multiplem Myelom haben häufig eine Hyperkalzämie; normal eingenommen werden. welche das Risiko einer Nierenschädigung er,B.2.5. Patienten mit Multiplem Myelom
V10DE-REC-075,V10DE,17,32;33,kann,Patienten mit Multiplem Myelom haben häufig eine Hyperkalzämie; normal eingenommen werden. welche das Risiko einer Nierenschädigung erhöhen kann. Korrektur 2. Bei Patienten der Hyperkalzämie vor Röntgenkontrastmittelga,B.2.5. Patienten mit Multiplem Myelom
V10DE-REC-076,V10DE,17,32;33,sollte,"orrektur 2. Bei Patienten der Hyperkalzämie vor Röntgenkontrastmittelgabe sollte mit einem Hämatologen besprochen werden. (a) mit einer eGFR < 30 ml/min/1,73 m2, welche intravenös oder",B.2.5. Patienten mit Multiplem Myelom
V10DE-REC-077,V10DE,17,32;33,sollen,"-pass Effekt • Die Bestimmung einer Bence Jones Proteinurie vor erhalten sollen, Röntgenkontrastmittelgabe ist nicht erforderlich. (b) die intraarteri",B.2.5. Patienten mit Multiplem Myelom
V10DE-REC-078,V10DE,17,32;33,erforderlich,"s Proteinurie vor erhalten sollen, Röntgenkontrastmittelgabe ist nicht erforderlich. (b) die intraarterielles Röntgenkontrastmittel mit renalem first-pass",B.2.5. Patienten mit Multiplem Myelom
V10DE-REC-079,V10DE,17,32;33,soll,gadoliniumhaltiger oder Kontrastmittel (c) mit AKI: soll Metformin ab dem Zeitpunkt der Röntgenkontrast- MR-Untersuchungen mittelapplikation abgesetzt,B.3. Renale unerwünschte Wirkungen gadoliniumhaltiger
V10DE-REC-080,V10DE,17,32;33,kann,"h Röntgenkontrastmittelgabe Kontrastmittel in zugelassenen Dosen eingesetzt wird. die Nierenfunktion nicht signifikant verändert hat, kann die • Bei Patienten mit eingeschränkter Nierenfunktion die Empfehlungen der Metformineinnahme wieder begonnen werden. ESUR-Leitlinien für NSF (Ka",B.3. Renale unerwünschte Wirkungen gadoliniumhaltiger
V10DE-REC-081,V10DE,17,32;33,notwendig,"2. Gadoliniumhaltige Kontrastmittel • Gadoliniumhaltige Kontrastmittel sind bei Röntgenuntersuchungen Es sind keine besonderen Vorsichtsmaßnahmen notwendig, wenn nicht zugelassen. Diabetiker, die Metformin einnehmen, ein gadoliniumhaltiges • Bei Pat",B.3. Renale unerwünschte Wirkungen gadoliniumhaltiger
V10DE-REC-082,V10DE,17,32;33,sollten,"ten mit eingeschränkter Nierenfunktion (eGFR Kontrastmittel bekommen, da das Risiko einer PC-AKI sehr gering ist. < 60 ml/min/1,73 m2) sollten gadoliniumhaltige Kontrastmittel bei Röntgenuntersuchungen sollten nicht angewendet werden. • In Dosierungen, die zu einer vergleichbaren Röntgenschwächung führen,",B.3. Renale unerwünschte Wirkungen gadoliniumhaltiger
V10DE-REC-083,V10DE,17,32;33,sollten nicht,"Kontrastmittel bekommen, da das Risiko einer PC-AKI sehr gering ist. < 60 ml/min/1,73 m2) sollten gadoliniumhaltige Kontrastmittel bei Röntgenuntersuchungen sollten nicht angewendet werden. • In Dosierungen, die zu einer vergleichbaren Röntgenschwächung führen,",B.3. Renale unerwünschte Wirkungen gadoliniumhaltiger
V10DE-REC-084,V10DE,17,32;33,können,"alyse und Kontrastmittelgabe sind gadoliniumhaltige Kontrastmittel nephrotoxischer als iodhaltige Alle Kontrastmittel, ob iod- und gadoliniumhaltig, können durch eine Röntgenkontrastmittel. Hämodialyse oder eine Peritonealdialyse entfernt werden. Trotzdem",B.5. Dialyse und Kontrastmittelgabe
V10DE-REC-085,V10DE,17,32;33,sollte,pathie oder einer Nephrogenen Systemischen Fibrose schützt. Bei allen Patienten sollte eine osmotische und eine Überladung mit Flüssigkeit vermieden werden. Zur Verme,B.5. Dialyse und Kontrastmittelgabe
V10DE-REC-086,V10DE,18,34;35,können,"Kontrastmittel schwächen Röntgenstrahlen Dialyse-Patienten sehr gut ab und können im CT, bei Exkretion in den Harntrakt, Hämodialyse Iodhaltige Kontrastmittel missinterpretiert werden. Zur Untersuchu",
V10DE-REC-087,V10DE,18,34;35,sollten,"etion in den Harntrakt, Hämodialyse Iodhaltige Kontrastmittel missinterpretiert werden. Zur Untersuchung des Abdomens sollten • Eine Abstimmung des Zeitpunktes der kontrastmittelgestützte CT-Untersuchungen zeitlich vor MRT-Unter-",
V10DE-REC-088,V10DE,18,34;35,erforderlich,ttelinjektion mit der suchungen mit Kontrastmittel erfolgen. Bei Untersuchungen von Lunge Hämodialysesitzung ist nicht erforderlich. und Gehirn können sowohl CT als auch MRT zuerst durchgeführt werden. • Eine zusätzliche Hämodialyse zur,
V10DE-REC-089,V10DE,18,34;35,können,suchungen mit Kontrastmittel erfolgen. Bei Untersuchungen von Lunge Hämodialysesitzung ist nicht erforderlich. und Gehirn können sowohl CT als auch MRT zuerst durchgeführt werden. • Eine zusätzliche Hämodialyse zur Röntgenkontrastmi,
V10DE-REC-090,V10DE,18,34;35,notwendig,• Eine zusätzliche Hämodialyse zur Röntgenkontrastmittelelimination ist nicht notwendig. B.7. Wie lange sollte in der Routinediagnostik der,
V10DE-REC-091,V10DE,18,34;35,sollte,Röntgenkontrastmittelelimination ist nicht notwendig. B.7. Wie lange sollte in der Routinediagnostik der zeitliche Abstand zwischen zwei Untersuc,
V10DE-REC-092,V10DE,18,34;35,empfohlen,"zeitliche Abstand zwischen zwei Untersuchungen Gadoliniumhaltige Kontrastmittel • Es wird empfohlen, die Kontrastmittelgabe mit iodiodhaltigem Röntgenkontrastmittel betr",
V10DE-REC-093,V10DE,18,34;35,sollte,"abzustimmen. (GFR > 30 ml/min/1,73 m2) • Nach der Kontrastmittelgabe sollte so früh 75 % des iodhaltigen Röntgenkontrastmittels werden binnen wie möglich eine Hämodialyse durchgeführt",
V10DE-REC-094,V10DE,18,34;35,sollten,astmittels werden binnen wie möglich eine Hämodialyse durchgeführt 4 Stunden nach Kontrastmittelgabe ausgeschieden. Es sollten werden. 4 Stunden zwischen den Untersuchungen mit iodhaltigen Kontinuierliche,
V10DE-REC-095,V10DE,18,34;35,notwendig,"ialyse elimination ist nach iodhaltigen (GFR < 30ml/min/1,73 m2) (CAPD) Röntgenkontrastmitteln nicht notwendig. Es sollte ein Abstand von 48 Stunden zwischen zwei Applikationen Gadoliniumhaltige Kontrastmittel",
V10DE-REC-096,V10DE,18,34;35,sollte,"nach iodhaltigen (GFR < 30ml/min/1,73 m2) (CAPD) Röntgenkontrastmitteln nicht notwendig. Es sollte ein Abstand von 48 Stunden zwischen zwei Applikationen Gadoliniumhaltige Kontrastmittel iodhaltiger Röntgenko",
V10DE-REC-097,V10DE,18,34;35,sollte,"oliniumhaltige Kontrastmittel iodhaltiger Röntgenkontrastmittel liegen. • Die Notwendigkeit einer Hämodialyse sollte 3. Dialysepatienten mit dem überweisenden Arzt besprochen Falls es eine Restdiurese gibt, sollte",
V10DE-REC-098,V10DE,18,34;35,sollte,"sollte 3. Dialysepatienten mit dem überweisenden Arzt besprochen Falls es eine Restdiurese gibt, sollte zwischen zwei Applikationen werden. iodhaltiger Kontrastmittel ein Abstand von minde",
V10DE-REC-099,V10DE,18,34;35,mindestens,ollte zwischen zwei Applikationen werden. iodhaltiger Kontrastmittel ein Abstand von mindestens 48 Stunden liegen. B.6. Ist bei Routineuntersuchungen die Gabe iod,
V10DE-REC-100,V10DE,18,34;35,sollte,liegen. B.6. Ist bei Routineuntersuchungen die Gabe iod- und B.8. Wie lange sollte in der Routinediagnostik der gadoliniumhaltiger Kontrastmittel am selben Tag zeitliche Abstand zwischen zwei Untersuc,B.6. Ist bei Routineuntersuchungen die Gabe iod- und
V10DE-REC-101,V10DE,18,34;35,kann,"unbedenklich? mit gadoliniumhaltigem Kontrastmittel betragen? Aus Effizienzgründen kann es vorkommen, dass am selben Tag iod- und 1. Patienten mit normaler oder modera",B.6. Ist bei Routineuntersuchungen die Gabe iod- und
V10DE-REC-102,V10DE,18,34;35,sollten,"astmittels werden binnen 4 Um das Risiko einer Nephrotoxizität zu minimieren, empfiehlt sich folgendes: Stunden nach Kontrastmittelgabe ausgeschieden. Es sollten 4 Stunden zwischen den Untersuchungen mit gadoliniumhaltigen 1. Patiente",B.6. Ist bei Routineuntersuchungen die Gabe iod- und
V10DE-REC-103,V10DE,18,34;35,sollten,"(GFR < 30ml/min/1,73 m2) oder mit Dialyse binnen 4 Stunden nach Kontrastmittelgabe ausgeschieden. Es sollten 4 Stunden zwischen der Gabe von iod- und gadoliniumhaltigen Es sollte ein A",B.6. Ist bei Routineuntersuchungen die Gabe iod- und
V10DE-REC-104,V10DE,18,34;35,sollte,sollten 4 Stunden zwischen der Gabe von iod- und gadoliniumhaltigen Es sollte ein Abstand von 7 Tagen zwischen der Gabe Kontrastmitteln liegen. 2. Patienten mit hochgradig eingeschränkter Nierenfunktion ga,B.6. Ist bei Routineuntersuchungen die Gabe iod- und
V10DE-REC-105,V10DE,18,34;35,sollte,"radig eingeschränkter Nierenfunktion gadoliniumhaltiger Kontrastmittel liegen. (GFR < 30ml/min/1,73 m2 oder Dialysepflicht) Es sollte ein Abstand von 7 Tagen zwischen der Gabe von iod- und gadoliniumhaltiger Kontrastmittel liegen. 34 ﻿Renale unerwünschte Wirkungen (Kontrastmittel-assoziierte akute Nierensc",B.6. Ist bei Routineuntersuchungen die Gabe iod- und
V10DE-REC-106,V10DE,19,36;37,vermeiden,kleine distale Lunge reduzieren • Hohe Röntgenkontrastmitteldosen Venen). vermeiden. • Hohes Röntgenkontrastmittelvolumen. • Hoch-osmolares Röntgenkontrastmittel. • Hoch-visköses Rön,C.1. Kontrastmittel-Extravasate
V10DE-REC-107,V10DE,19,36;37,sollten,venöse Drainage. • Adipositas. C.3.1.1. Iodhaltige Kontrastmittel Risikoreduktion • Intravenöse Techniken sollten immer sorgfältig durchgeführt werden – Die klinisch wichtige unerwünschte Wirkung iodhaltiger ausreichende Kanül,C.1. Kontrastmittel-Extravasate
V10DE-REC-108,V10DE,19,36;37,sollte,"torische Eigenschaften, • Der Einsatz von Kanülen mit insbesondere ionische Kontrastmittel. Seitenöffnungen sollte erwogen werden. • Hoch-osmolare ionische Röntgenkontrastmittel können eine • Testinjektion mit Kochsalzlösung. Thrombose durch Endothelschä",C.1. Kontrastmittel-Extravasate
V10DE-REC-109,V10DE,19,36;37,können,"len mit insbesondere ionische Kontrastmittel. Seitenöffnungen sollte erwogen werden. • Hoch-osmolare ionische Röntgenkontrastmittel können eine • Testinjektion mit Kochsalzlösung. Thrombose durch Endothelschädigung verursachen, insbesondere bei • Einsatz",C.1. Kontrastmittel-Extravasate
V10DE-REC-110,V10DE,19,36;37,kann,"n, minimieren das Ausmaß unerwünschter eine MRT-Untersuchung der betroffenen Röntgenkontrastmittelwirkungen. Region kann hilfreich sein. • Meist reicht eine konservative Behandlung Leitlinien",C.1. Kontrastmittel-Extravasate
V10DE-REC-111,V10DE,19,36;37,erforderlich,"Behandlung Leitlinien ◦◦ Hochlagern der Extremitäten • Eine sorgfältige angiographische Technik ist zwingend erforderlich, ◦◦ Eispackungen sie ist die wichtigste Maßnahme zur Vermeidung thromboembolischer ◦◦ Sorgfäl",C.1. Kontrastmittel-Extravasate
V10DE-REC-112,V10DE,19,36;37,sollte,"Komplikationen. • Bei Verdacht auf schwere Schäden, • Für diagnostische und interventionelle angiographische sollte eine chirurgische Vorstellung Untersuchungen, inklusive Phlebographie, sollten niedrig- oder iso- erfolgen. o",C.1. Kontrastmittel-Extravasate
V10DE-REC-113,V10DE,19,36;37,sollten,"• Für diagnostische und interventionelle angiographische sollte eine chirurgische Vorstellung Untersuchungen, inklusive Phlebographie, sollten niedrig- oder iso- erfolgen. osmolare Röntgenkontrastmittel verwendet werden. 36 ﻿Verschiedenes",C.1. Kontrastmittel-Extravasate
V10DE-REC-114,V10DE,20,38;39,können,2.1. Iodhaltige Röntgenkontrastmittel Vorbereitung • Hoch-osmolare iodhaltige Röntgenkontrastmittel können bei Patienten a) Vor intravenöser Kontrastmittelgabe (iod- oder mit Sichelzellanämie die roten Blutkörperchen sichelzellartig gadoliniumhaltig,C.3.2.1. Iodhaltige Röntgenkontrastmittel
V10DE-REC-115,V10DE,20,38;39,notwendig,"llartig gadoliniumhaltige): sind keine speziellen verformen, was zu einer Hämolyse und Verstopfung der kleinen Vorbereitungsmaßnahmen notwendig. Gefäße führen kann. b) Vor intraarterieller Gabe eines iodhaltigen • Niedrig- oder iso",C.3.2.1. Iodhaltige Röntgenkontrastmittel
V10DE-REC-116,V10DE,20,38;39,kann,"doliniumhaltige): sind keine speziellen verformen, was zu einer Hämolyse und Verstopfung der kleinen Vorbereitungsmaßnahmen notwendig. Gefäße führen kann. b) Vor intraarterieller Gabe eines iodhaltigen • Niedrig- oder iso-osmolare iodhaltige Rönt",C.3.2.1. Iodhaltige Röntgenkontrastmittel
V10DE-REC-117,V10DE,20,38;39,empfohlen,n oralen Medikamenten unter Beobachtung des überweisenden Wirkungen als in einer normalen Population. Arztes wird empfohlen. Leitlinien Geeignete Kontrastmittel • Niedrig- und iso-osmolare iodhaltige Röntgenkontrastmittel einsetzen.,C.3.2.1. Iodhaltige Röntgenkontrastmittel
V10DE-REC-118,V10DE,20,38;39,sollte,"Schwangerschaft a) Schwangeren b) Wenn eine • Bisher gibt es keine Berichte zur unerwünschten Verformung der roten sollte nur in zwingende Blutzellen nach gadoliniumhaltigen Kontrastmitteln. Ausnahmefällen, Indikation für eine",C.5. Schwangerschaft und Stillzeit
